question_id,title,score,tags,creation_date,last_activity_date,last_edit_date,link
339137,"Why do polynomials with coefficients $0,1$ like to have only factors with $0,1$ coefficients?",262,nt.number-theory;pr.probability;polynomials;probability-distributions;open-problems,2019-08-25T11:15:36+00:00,2025-11-19T20:05:38+00:00,2025-07-17T11:52:17+00:00,https://mathoverflow.net/questions/339137/why-do-polynomials-with-coefficients-0-1-like-to-have-only-factors-with-0-1
64146,Grothendieck-Teichm&#252;ller conjecture,148,ag.algebraic-geometry;nt.number-theory;at.algebraic-topology;galois-theory;motives,2011-05-06T18:39:42+00:00,2025-07-17T18:48:20+00:00,2024-01-20T11:12:32+00:00,https://mathoverflow.net/questions/64146/grothendieck-teichm%c3%bcller-conjecture
172350,A proof of $\dim(R[T])=\dim(R)+1$ without prime ideals?,119,ac.commutative-algebra;krull-dimension,2014-06-21T08:10:49+00:00,2023-11-30T21:48:49+00:00,2023-11-30T21:48:49+00:00,https://mathoverflow.net/questions/172350/a-proof-of-dimrt-dimr1-without-prime-ideals
269651,Hironaka&#39;s proof of resolution of singularities in positive characteristics,98,ag.algebraic-geometry;reference-request;soft-question;singularity-theory;resolution-of-singularities,2017-05-13T02:31:46+00:00,2025-03-25T03:13:37+00:00,2023-05-18T16:46:39+00:00,https://mathoverflow.net/questions/269651/hironakas-proof-of-resolution-of-singularities-in-positive-characteristics
377545,Which finite abelian groups aren&#39;t homotopy groups of spheres?,88,at.algebraic-topology;homotopy-theory,2020-11-26T22:40:08+00:00,2023-09-19T18:43:09+00:00,2021-11-16T09:26:17+00:00,https://mathoverflow.net/questions/377545/which-finite-abelian-groups-arent-homotopy-groups-of-spheres
18264,"$\ell^2$, $\ell^3$, and $\ell^4$: a possible fixed point result?",85,fa.functional-analysis;open-problems;banach-spaces,2010-03-15T13:26:45+00:00,2025-10-13T10:00:43+00:00,2025-10-13T10:00:43+00:00,https://mathoverflow.net/questions/18264/ell2-ell3-and-ell4-a-possible-fixed-point-result
151396,"The exponent of Ш of $y^2 = x^3 + px$, where $p$ is a Fermat prime",81,nt.number-theory;elliptic-curves;tate-shafarevich-groups,2013-12-10T16:31:03+00:00,2020-08-31T15:48:37+00:00,2016-10-12T21:22:11+00:00,https://mathoverflow.net/questions/151396/the-exponent-of-%d0%a8-of-y2-x3-px-where-p-is-a-fermat-prime
185834,Are there periodicity phenomena in manifold topology with odd period?,72,at.algebraic-topology;dg.differential-geometry;differential-topology,2014-10-31T05:18:22+00:00,2025-01-31T19:04:51+00:00,2014-11-01T22:54:49+00:00,https://mathoverflow.net/questions/185834/are-there-periodicity-phenomena-in-manifold-topology-with-odd-period
55423,Constructing non-torsion rational points (over $\mathbb{Q}$) on elliptic curves of rank $&gt;1$,72,nt.number-theory;elliptic-curves;modular-forms,2011-02-14T16:53:11+00:00,2024-05-14T22:04:39+00:00,2024-05-14T22:04:39+00:00,https://mathoverflow.net/questions/55423/constructing-non-torsion-rational-points-over-mathbbq-on-elliptic-curves
286455,What did Gelfand mean by suggesting to study &quot;Heredity Principle&quot; structures instead of categories?,63,ct.category-theory;linear-algebra;ra.rings-and-algebras;higher-category-theory;determinants,2017-11-19T14:59:41+00:00,2025-07-04T17:13:24+00:00,2020-06-15T07:27:00+00:00,https://mathoverflow.net/questions/286455/what-did-gelfand-mean-by-suggesting-to-study-heredity-principle-structures-ins
